,player_name,age,fee,transfer_period,season,Squad,player_code
2,Rasmus Kristensen,24.0,13000000.0,Summer,2022/2023,Leeds United,rasmus-kristensen97
4,Luis Sinisterra,23.0,25000000.0,Summer,2022/2023,Leeds United,luis-sinisterra99
5,Brenden Aaronson,21.0,32840000.000000004,Summer,2022/2023,Leeds United,brenden-aaronson00
11,Darko Gyabi,18.0,5800000.0,Summer,2022/2023,Leeds United,darko-gyabi04
21,Wilfried Gnonto,18.0,4500000.0,Summer,2022/2023,Leeds United,degnand-gnonto03
28,Laurens De Bock,29.0,0.0,Summer,2022/2023,Zulte Waregem,laurens-de-bock92
45,James Tarkowski,29.0,0.0,Summer,2022/2023,Everton,james-tarkowski92
52,Conor Coady,29.0,0.0,Summer,2022/2023,Everton,conor-coady93
56,James Garner,21.0,10400000.0,Summer,2022/2023,Everton,james-garner01
57,Neal Maupay,26.0,11800000.0,Summer,2022/2023,Everton,neal-maupay96
58,Dwight McNeil,22.0,24000000.0,Summer,2022/2023,Everton,dwight-mcneil99
61,Cheikhou Kouyaté,32.0,0.0,Summer,2022/2023,Nott'ham Forest,cheikhou-kouyate89
69,Manor Solomon,23.0,0.0,Summer,2022/2023,Fulham,manor-solomon99
72,Daniel James,24.0,0.0,Summer,2022/2023,Fulham,daniel-james97
73,Willian,34.0,0.0,Summer,2022/2023,Fulham,willian88
75,Carlos Vinícius,27.0,5000000.0,Summer,2022/2023,Fulham,carlos-vinicius95
76,Andreas Pereira,26.0,9500000.0,Summer,2022/2023,Fulham,andreas-pereira96
78,Issa Diop,25.0,17800000.0,Summer,2022/2023,Fulham,issa-diop97
79,João Palhinha,26.0,20000000.0,Summer,2022/2023,Fulham,joao-palhinha95
83,João Virgínia,22.0,0.0,Summer,2022/2023,Cambuur,joao-virginia99
84,Jarrad Branthwaite,20.0,0.0,Summer,2022/2023,PSV Eindhoven,jarrad-branthwaite02
102,Gabriel Jesus,25.0,52200000.0,Summer,2022/2023,Arsenal,gabriel-jesus97
103,Raheem Sterling,27.0,56200000.0,Summer,2022/2023,Chelsea,raheem-sterling94
111,Facundo Pellistri,20.0,0.0,Summer,2022/2023,Manchester Utd,facundo-pellistri01
113,Álvaro Fernandez,20.0,0.0,Summer,2022/2023,Manchester Utd,alvaro-fernandez98
119,Dean Henderson,26.0,0.0,Summer,2022/2023,Manchester Utd,dean-henderson97
122,Alejandro Garnacho,18.0,0.0,Summer,2022/2023,Manchester Utd,alejandro-garnacho04
125,Martin Dúbravka,33.0,2310000.0,Summer,2022/2023,Manchester Utd,martin-dubravka89
126,Tyrell Malacia,22.0,15000000.0,Summer,2022/2023,Manchester Utd,tyrell-malacia99
127,Lisandro Martínez,24.0,57370000.0,Summer,2022/2023,Manchester Utd,lisandro-martinez98
128,Casemiro,30.0,70650000.0,Summer,2022/2023,Manchester Utd,casemiro92
129,Antony,22.0,95000000.0,Summer,2022/2023,Manchester Utd,antony00
134,Sadio Mané,30.0,32000000.0,Summer,2022/2023,Bayern Munich,sadio-mane92
139,Fábio Carvalho,19.0,5900000.0,Summer,2022/2023,Liverpool,fabio-carvalho02
143,Takumi Minamino,27.0,15000000.0,Summer,2022/2023,Monaco,takumi-minamino95
146,Wesley Fofana,21.0,80400000.0,Summer,2022/2023,Chelsea,wesley-fofana00
149,Dennis Praet,28.0,0.0,Summer,2022/2023,Leicester City,dennis-praet94
151,Wout Faes,24.0,17000000.0,Summer,2022/2023,Leicester City,wout-faes98
154,Julián Álvarez,22.0,0.0,Summer,2022/2023,Manchester City,julian-alvarez00
155,Sergio Gómez,21.0,13000000.0,Summer,2022/2023,Manchester City,sergio-gomez00
163,Stefan Ortega,29.0,0.0,Summer,2022/2023,Manchester City,stefan-ortega92
165,Ben Davies,26.0,4700000.0,Summer,2022/2023,Rangers,ben-davies93
166,Kalvin Phillips,26.0,49000000.0,Summer,2022/2023,Manchester City,kalvin-phillips95
167,Erling Haaland,21.0,60000000.0,Summer,2022/2023,Manchester City,erling-haaland00
176,Remi Matthews,29.0,0.0,Summer,2022/2023,Crystal Palace,remi-matthews94
178,Marcus Tavernier,23.0,11900000.0,Summer,2022/2023,Bournemouth,marcus-tavernier99
179,Marcos Senesi,25.0,15000000.0,Summer,2022/2023,Bournemouth,marcos-senesi97
187,Joe Rothwell,27.0,0.0,Summer,2022/2023,Bournemouth,joe-rothwell95
193,Matt Targett,26.0,17500000.0,Summer,2022/2023,Newcastle Utd,matt-targett95
197,Ryan Fredericks,29.0,0.0,Summer,2022/2023,Bournemouth,ryan-fredericks92
199,Aaron Hickey,20.0,16500000.0,Summer,2022/2023,Brentford,aaron-hickey02
205,Ben Mee,32.0,0.0,Summer,2022/2023,Brentford,ben-mee89
