competition_id,competition_code,name,sub_type,type,country_name,domestic_league_code
BE1,jupiler-pro-league,jupiler-pro-league,first_tier,domestic_league,Belgium,BE1
SCI,supercoppa-italiana,supercoppa-italiana,domestic_super_cup,other,Italy,IT1
SFA,sfa-cup,sfa-cup,domestic_cup,domestic_cup,Scotland,SC1
UKRS,ukrainian-super-cup,ukrainian-super-cup,domestic_super_cup,other,Ukraine,UKR1
FAC,fa-cup,fa-cup,domestic_cup,domestic_cup,England,GB1
KLUB,fifa-klub-wm,fifa-klub-wm,fifa_club_world_cup,other,,
BESC,belgian-supercup,belgian-supercup,domestic_super_cup,other,Belgium,BE1
CGB,efl-cup,efl-cup,league_cup,other,England,GB1
DK1,superligaen,superligaen,first_tier,domestic_league,Denmark,DK1
ECLQ,uefa-europa-conference-league-qualifikation,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,,
ELQ,europa-league-qualifikation,europa-league-qualifikation,europa_league_qualifying,international_cup,,
NLSC,johan-cruijff-schaal,johan-cruijff-schaal,domestic_super_cup,other,Netherlands,NL1
CDR,copa-del-rey,copa-del-rey,domestic_cup,domestic_cup,Spain,ES1
USC,uefa-super-cup,uefa-super-cup,uefa_super_cup,other,,
CL,uefa-champions-league,uefa-champions-league,uefa_champions_league,international_cup,,
DFB,dfb-pokal,dfb-pokal,domestic_cup,domestic_cup,Germany,L1
FR1,ligue-1,ligue-1,first_tier,domestic_league,France,FR1
GBCS,community-shield,community-shield,domestic_super_cup,other,England,GB1
GR1,super-league-1,super-league-1,first_tier,domestic_league,Greece,GR1
SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,Scotland,SC1
DFL,dfl-supercup,dfl-supercup,domestic_super_cup,other,Germany,L1
EL,europa-league,europa-league,europa_league,international_cup,,
TR1,super-lig,super-lig,first_tier,domestic_league,Turkey,TR1
ES1,laliga,laliga,first_tier,domestic_league,Spain,ES1
RU1,premier-liga,premier-liga,first_tier,domestic_league,Russia,RU1
RUSS,russian-super-cup,russian-super-cup,domestic_super_cup,other,Russia,RU1
SUC,supercopa,supercopa,domestic_super_cup,other,Spain,ES1
UKRP,ukrainian-cup,ukrainian-cup,domestic_cup,domestic_cup,Ukraine,UKR1
GB1,premier-league,premier-league,first_tier,domestic_league,England,GB1
NLP,toto-knvb-beker,toto-knvb-beker,domestic_cup,domestic_cup,Netherlands,NL1
PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,Portugal,PO1
POCP,allianz-cup,allianz-cup,domestic_cup,domestic_cup,Portugal,PO1
RUP,russian-cup,russian-cup,domestic_cup,domestic_cup,Russia,RU1
L1,bundesliga,bundesliga,first_tier,domestic_league,Germany,L1
DKP,sydbank-pokalen,sydbank-pokalen,domestic_cup,domestic_cup,Denmark,DK1
UKR1,premier-liga,premier-liga,first_tier,domestic_league,Ukraine,UKR1
CLQ,uefa-champions-league-qualifikation,uefa-champions-league-qualifikation,uefa_champions_league_qualifying,international_cup,,
IT1,serie-a,serie-a,first_tier,domestic_league,Italy,IT1
POSU,supertaca-candido-de-oliveira,supertaca-candido-de-oliveira,domestic_super_cup,other,Portugal,PO1
CIT,italy-cup,italy-cup,domestic_cup,domestic_cup,Italy,IT1
FRCH,trophee-des-champions,trophee-des-champions,domestic_super_cup,other,France,FR1
GRP,kypello-elladas,kypello-elladas,domestic_cup,domestic_cup,Greece,GR1
NL1,eredivisie,eredivisie,first_tier,domestic_league,Netherlands,NL1
