,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
0,Alessio Cragno,Monza,28,94,1.0,3,3.00,5,2,40.0,0,0.0,Serie A,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Goalkeeper,93.5,621,431,100.0,100.0,66.7,0,0.0,0.0,0.0,0,0,0,0,0,0.00,0,3,-3,-3.0,-2.97,1.4,2.4,-1.1,-1.05,-0.93,alessio-cragno94,Italy,Goalkeeper,right,184.0,4000000,400000.0,Summer,-3.39
1,Michele Di Gregorio,Monza,25,97,37.0,49,1.32,167,119,72.5,10,27.0,Serie A,0,0,0,0,0,0,3,0.0,3,1,0,1,4,4,18,3,Goalkeeper,76.0,29670,19870,100.0,97.5,50.0,1,0.0,0.1,+1.0,1,16,1,0,0,1.41,48,49,-1,-0.03,+2.97,44.6,48.9,-4.3,-0.12,+0.93,michele-di-gregorio97,Italy,Goalkeeper,right,187.0,7000000,4000000.0,Summer,-15.540000000000006
2,Bartłomiej Drągowski,Spezia,24,97,32.7,54,1.65,164,112,69.5,6,17.6,Serie A,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,15,3,Goalkeeper,68.9,21748,14971,99.5,98.1,40.4,1,0.1,0.2,+0.9,1,22,3,0,0,0.80,24,54,-30,-0.92,-0.73,32.4,50.9,-18.5,-0.56,-0.65,bartlomiej-drągowski97,Poland,Goalkeeper,right,191.0,4500000,2000000.0,Summer,-22.236000000000004
3,Federico Marchetti,Spezia,39,83,0.7,2,2.73,3,1,33.3,0,,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,77.8,316,175,100.0,100.0,50.0,0,0.0,0.0,0.0,0,0,0,0,0,0.50,0,2,-2,-2.73,-1.95,1.2,0.9,+0.3,+0.38,+0.87,federico-marchetti83,Italy,Goalkeeper,left,188.0,50000,0.0,Winter,-1.743
4,Wladimiro Falcone,Lecce,27,95,38.0,46,1.21,156,112,73.7,6,15.8,Serie A,2,0,2,0,0,2,2,100.0,0,0,0,0,2,4,21,3,Goalkeeper,51.2,19884,15815,100.0,96.1,34.1,0,0.2,0.1,-0.2,3,16,2,0,0,0.95,33,46,-13,-0.34,,36.1,42.1,-6.1,-0.16,,wladimiro-falcone95,Italy,Goalkeeper,right,195.0,5000000,0.0,Summer,-25.839999999999993
5,Luís Maximiano,Lazio,23,99,0.1,,,,,,,,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,75.0,98,90,100.0,,66.7,0,0.0,0.0,0.0,0,0,0,0,0,3.00,0,0,0,0.0,-0.79,0.1,0.0,+0.1,+0.99,+0.73,luis-maximiano99,Portugal,Goalkeeper,both,190.0,8000000,10100000.0,Summer,0.074
6,Ivan Provedel,Lazio,28,94,37.9,30,0.79,128,99,77.3,21,56.8,Serie A,1,0,1,0,0,0,0,,0,0,0,0,0,1,15,1,Goalkeeper,80.2,28575,20681,99.6,97.4,62.4,0,0.0,0.1,0.0,1,21,1,0,0,1.95,60,30,+30,0.79,+0.79,51.1,41.3,+9.8,+0.26,-0.45,ivan-provedel94,Italy,Goalkeeper,right,194.0,12000000,2000000.0,Summer,57.987
7,Lorenzo Montipò,Hellas Verona,26,96,37.0,59,1.59,181,124,68.0,5,13.5,Serie A,1,0,1,0,0,0,3,0.0,3,1,0,1,0,1,26,3,Goalkeeper,62.5,29263,24967,98.7,98.0,49.0,0,0.0,0.2,0.0,0,65,1,0,0,0.87,31,59,-28,-0.76,-0.76,34.7,48.8,-14.1,-0.38,-0.38,lorenzo-montipo96,Italy,Goalkeeper,right,191.0,4000000,1000000.0,Summer,-27.009999999999998
8,Simone Perilli,Hellas Verona,27,95,1.0,0,0.00,4,4,100.0,1,100.0,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,29.4,455,391,100.0,100.0,20.0,0,0.0,0.0,0.0,0,3,0,0,0,1.00,0,0,0,0.0,+0.76,1.2,1.2,0.0,0.00,+0.38,simone-perilli95,Italy,Goalkeeper,right,195.0,200000,0.0,Summer,0.03
9,Guillermo Ochoa,Salernitana,37,85,20.0,33,1.65,105,71,71.4,4,20.0,Serie A,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,1,Goalkeeper,58.0,14422,10713,98.4,98.4,38.7,0,0.0,0.0,0.0,0,13,0,0,0,1.10,26,33,-7,-0.35,+0.04,17.9,33.7,-15.8,-0.79,+0.02,guillermo-ochoa85,Mexico,Goalkeeper,right,183.0,1200000,0.0,Winter,0.4000000000000026
10,Luigi Sepe,Salernitana,31,91,17.0,27,1.59,87,57,73.6,3,17.6,Serie A,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Goalkeeper,68.1,11985,9017,100.0,99.5,41.4,0,0.0,0.0,0.0,0,8,0,0,0,1.00,19,27,-8,-0.47,-0.18,17.6,31.1,-13.6,-0.80,+0.01,luigi-sepe91,Italy,Goalkeeper,left,185.0,1000000,0.0,Summer,-1.6999999999999977
11,André Onana,Inter,26,96,24.0,24,1.00,83,61,73.5,8,33.3,Serie A,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0,Goalkeeper,81.3,20562,13611,100.0,98.0,54.7,0,0.1,0.1,-0.1,3,17,1,0,2,1.88,39,24,+15,0.62,-0.38,42.5,21.8,+20.7,+0.86,+0.08,andre-onana96,Cameroon,Goalkeeper,right,190.0,20000000,0.0,Summer,9.84
12,Samuele Perisan,Empoli,24,97,7.0,9,1.29,24,15,62.5,2,28.6,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Goalkeeper,75.7,4436,3030,100.0,98.6,50.5,0,0.0,0.0,0.0,0,0,0,0,0,0.57,3,9,-6,-0.86,-0.66,6.8,9.5,-2.7,-0.38,+0.16,samuele-perisan97,Italy,Goalkeeper,left,192.0,700000,0.0,Summer,-3.080000000000001
13,Guglielmo Vicario,Empoli,25,96,30.9,39,1.26,134,95,73.9,7,22.6,Serie A,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,15,2,Goalkeeper,72.3,24781,16933,99.4,98.4,44.3,0,0.0,0.0,0.0,0,19,0,0,0,1.26,34,39,-5,-0.16,+0.83,31.9,48.7,-16.7,-0.54,-0.16,guglielmo-vicario96,Italy,Goalkeeper,right,194.0,16000000,8500000.0,Summer,8.033999999999997
14,Salvatore Sirigu,Fiorentina,35,87,1.0,0,0.00,5,5,100.0,1,100.0,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,73.7,930,572,100.0,100.0,58.3,0,0.0,0.0,0.0,0,0,0,0,0,3.00,2,0,+2,2.0,+1.78,1.7,1.8,-0.1,-0.09,-0.41,salvatore-sirigu87,Italy,Goalkeeper,right,192.0,600000,0.0,Winter,2.21
15,Mile Svilar,Roma,22,99,3.0,3,1.00,10,7,70.0,1,33.3,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,63.6,1589,1235,100.0,100.0,40.4,0,0.0,0.0,0.0,0,3,0,0,0,1.33,3,3,0,0.0,-0.34,4.6,3.7,+0.9,+0.32,-0.38,mile-svilar99,Belgium,Goalkeeper,right,189.0,1800000,0.0,Summer,0.3300000000000003
16,Martin Turk,Sampdoria,18,03,4.0,9,2.25,30,21,73.3,0,0.0,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Goalkeeper,62.7,3103,2663,100.0,94.3,46.3,0,0.0,0.0,0.0,0,1,0,0,0,1.00,7,9,-2,-0.5,+0.82,4.8,9.0,-4.2,-1.06,-0.24,martin-turk03,Slovenia,Goalkeeper,left,190.0,300000,0.0,Winter,-2.84
17,Janis Blaswich,RB Leipzig,31,91,26.0,29,1.12,75,45,69.3,7,26.9,Bundesliga,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Goalkeeper,86.5,21548,10888,99.6,99.2,50.3,0,0.0,0.0,0.0,0,11,0,0,1,2.00,48,29,+19,0.73,+0.23,49.3,27.0,+22.3,+0.86,+0.46,janis-blaswich91,Germany,Goalkeeper,right,193.0,2000000,0.0,Summer,16.640000000000004
18,Lennart Grill,Union Berlin,23,99,5.0,11,2.20,25,14,64.0,2,40.0,Bundesliga,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1,Goalkeeper,68.7,4637,3732,100.0,98.6,45.8,0,0.0,0.0,0.0,0,10,0,0,0,1.40,7,11,-4,-0.8,-1.39,6.6,7.5,-0.9,-0.19,-0.06,lennart-grill99,Germany,Goalkeeper,right,192.0,1000000,0.0,Summer,-3.700000000000001
