,Player,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,market_value_in_eur,fee,transfer_period,Target
0,Oliver Abildgaard,Hellas Verona,26,96,6.6,0,3,2,66.7,0.46,0.30,0.00,0.00,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Serie A,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0,Midfielder,59.0,1943,930,68.2,57.7,48.1,0,0.4,0.3,6,17,3,2,15,1.08,2,11,-9,-1.37,-0.76,4.9,9.3,-4.4,-0.67,-0.36,oliver-abildgaard96,Denmark,Defensive Midfield,left,192.0,5000000,0.0,Winter,-14.784
1,Jayden Braaf,Hellas Verona,19,02,3.2,0,9,3,33.3,2.81,0.94,0.00,0.00,16.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Serie A,5,3,2,3,0,0,0,,0,1,0,1,2,7,1,0,Midfielder,76.9,849,192,93.2,76.5,66.7,0,0.1,0.1,2,5,0,0,5,0.33,2,4,-2,-0.62,+0.12,2.7,5.0,-2.3,-0.72,-0.38,jayden-braaf02,Netherlands,Centre-Forward,right,180.0,1000000,0.0,Winter,-4.768
2,Juan David Cabal,Hellas Verona,21,01,4.9,0,1,1,100.0,0.20,0.20,0.00,0.00,32.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Serie A,10,6,7,3,0,7,12,58.3,5,8,5,3,13,23,12,0,Defender,74.4,3165,1118,86.3,86.8,43.5,0,0.3,0.1,2,15,3,2,17,0.42,3,11,-8,-1.62,-1.02,4.7,9.0,-4.3,-0.88,-0.58,juan-david-cabal01,Colombia,Centre-Back,left,186.0,2500000,4000000.0,Summer,-7.791000000000001
3,Fabio Depaoli,Hellas Verona,25,97,24.1,2,19,4,21.1,0.79,0.17,0.11,0.50,16.0,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Serie A,48,28,25,16,7,25,44,56.8,19,32,6,26,18,66,33,3,Defender,64.2,8131,4636,77.1,69.3,44.0,2,1.2,1.3,16,40,22,13,66,0.91,20,39,-19,-0.79,-0.14,21.9,33.0,-11.1,-0.46,-0.24,fabio-depaoli97,Italy,Right-Back,right,182.0,3000000,0.0,Summer,-18.316000000000003
4,Josh Doig,Hellas Verona,20,02,15.0,2,18,6,33.3,1.20,0.40,0.11,0.33,16.1,0,0,0,1.8,1.8,0.10,+0.2,+0.2,Serie A,19,8,6,7,6,6,16,37.5,10,25,6,19,11,30,13,1,Defender,67.4,6111,2875,82.3,68.1,45.7,3,1.2,1.3,12,28,12,8,27,0.86,13,22,-9,-0.6,+0.23,13.4,15.7,-2.2,-0.15,+0.37,josh-doig02,Scotland,Left-Back,left,189.0,10000000,3600000.0,Summer,-8.549999999999999
5,Ondrej Duda,Hellas Verona,27,94,11.8,0,13,4,30.8,1.10,0.34,0.00,0.00,22.6,1,0,0,0.8,0.8,0.07,-0.8,-0.8,Serie A,22,14,7,12,3,9,16,56.3,7,11,0,11,13,35,8,0,Midfielder,74.6,5654,1659,83.6,83.1,54.7,0,0.3,0.5,5,42,5,1,44,1.13,8,15,-7,-0.59,+0.21,10.1,13.2,-3.1,-0.26,+0.16,ondrej-duda94,Slovakia,Attacking Midfield,right,181.0,4000000,0.0,Winter,-17.227999999999998
6,Adolfo Gaich,Hellas Verona,23,99,8.1,2,24,8,33.3,2.98,0.99,0.08,0.25,16.8,0,0,0,2.5,2.5,0.10,-0.5,-0.5,Serie A,5,3,0,3,2,1,6,16.7,5,7,2,5,3,8,7,1,Forward,57.0,1055,200,61.0,56.4,0.0,0,0.4,0.2,6,8,0,0,11,1.06,7,13,-6,-0.74,-0.01,8.5,9.7,-1.2,-0.14,+0.29,adolfo-gaich99,Argentina,Centre-Forward,right,190.0,1800000,0.0,Winter,-13.283999999999999
7,Thomas Henry,Hellas Verona,27,94,11.4,2,18,5,27.8,1.57,0.44,0.11,0.40,17.4,0,0,0,1.7,1.7,0.10,+0.3,+0.3,Serie A,5,3,1,1,3,1,5,20.0,4,6,2,4,0,5,14,0,Forward,50.9,1405,437,57.3,41.3,58.3,0,1.1,0.5,13,14,6,0,18,0.50,10,17,-7,-0.61,+0.18,10.9,15.5,-4.6,-0.41,-0.05,thomas-henry94,France,Centre-Forward,right,191.0,4000000,5000000.0,Summer,-17.214
8,Isak Hien,Hellas Verona,23,99,29.0,0,3,0,0.0,0.10,0.00,0.00,,8.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Serie A,73,36,54,19,0,38,61,62.3,23,40,17,23,31,104,92,1,Defender,75.2,16071,6179,76.6,84.4,59.0,0,0.1,0.2,2,41,3,1,54,0.97,24,42,-18,-0.62,+0.49,28.2,37.9,-9.8,-0.34,+0.14,isak-hien99,Sweden,Centre-Back,right,191.0,6000000,3200000.0,Summer,-17.11
9,Ajdin Hrustic,Hellas Verona,26,96,2.5,0,3,0,0.0,1.19,0.00,0.00,,19.4,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Serie A,2,1,1,1,0,1,2,50.0,1,2,0,2,0,2,2,1,Midfielder,79.8,1069,341,95.2,75.8,57.1,0,0.6,0.6,3,1,5,1,8,0.17,2,5,-3,-1.19,-0.49,2.6,4.3,-1.8,-0.70,-0.35,ajdin-hrustic96,Australia,Attacking Midfield,left,180.0,1800000,500000.0,Summer,-5.15
10,Yayah Kallon,Hellas Verona,21,01,9.6,1,20,6,30.0,2.09,0.63,0.05,0.17,19.4,0,0,0,1.7,1.7,0.08,-0.7,-0.7,Serie A,14,10,5,4,5,7,12,58.3,5,10,0,10,8,22,5,0,Midfielder,62.4,2179,653,74.5,61.4,47.1,1,1.5,0.9,13,10,14,6,22,0.77,8,14,-6,-0.63,+0.15,10.6,11.8,-1.1,-0.12,+0.34,yayah-kallon01,Sierra Leone,Right Winger,left,175.0,1500000,0.0,Summer,-14.399999999999997
11,Giangiacomo Magnani,Hellas Verona,26,95,17.0,0,7,1,14.3,0.41,0.06,0.00,0.00,19.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Serie A,33,22,20,11,2,19,25,76.0,6,20,15,5,21,54,76,0,Defender,73.5,7603,2655,82.8,83.4,50.0,1,0.2,0.2,5,32,4,1,32,1.08,14,24,-10,-0.59,+0.27,16.1,23.1,-7.0,-0.41,-0.07,giangiacomo-magnani95,Italy,Centre-Back,right,191.0,3000000,0.0,Summer,-9.52
12,Cyril Ngonge,Hellas Verona,22,00,8.3,3,26,10,38.5,3.14,1.21,0.12,0.30,23.5,0,0,0,2.0,2.0,0.08,+1.0,+1.0,Serie A,7,3,2,2,3,3,11,27.3,8,7,0,7,6,13,4,0,Midfielder,56.0,1450,491,65.4,69.4,36.4,1,0.6,0.6,11,10,6,4,13,1.13,8,9,-1,-0.12,+0.79,8.3,10.4,-2.1,-0.25,+0.15,cyril-ngonge00,Belgium,Right Winger,left,179.0,1300000,0.0,Winter,-8.217
13,Filippo Terracciano,Hellas Verona,19,03,9.1,0,5,3,60.0,0.55,0.33,0.00,0.00,23.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Serie A,20,13,11,7,2,15,20,75.0,5,7,4,3,10,30,14,0,Defender,68.5,4308,1770,77.9,77.7,39.6,1,1.2,1.5,8,21,10,4,37,1.24,5,9,-4,-0.44,+0.39,8.8,10.0,-1.1,-0.12,+0.33,filippo-terracciano03,Italy,Right Midfield,right,181.0,1000000,0.0,Summer,-3.7310000000000003
14,Deyovaisio Zeefuik,Hellas Verona,24,98,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Serie A,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Defender,71.4,83,14,100.0,100.0,0.0,0,0.0,0.0,0,0,0,0,0,0.00,0,1,-1,-9.0,-8.29,0.2,0.3,-0.1,-0.65,-0.28,deyovaisio-zeefuik98,Netherlands,Right-Back,right,177.0,1500000,0.0,Winter,-0.8970000000000001
