,Player,Squad,Age,Born,90s,GA,GA90,SoTA,Saves,Save%,CS,CS%,Based,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,drTkl,Att,Tkl%,Lost,Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Position,Total Cmp%,TotDist,PrgDist,Short Cmp%,Medium Cmp%,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,xG_On-Off,player_code,country_of_birth,sub_position,foot,height_in_cm,contract_expiration_date,market_value_in_eur
0,Emil Audero,Sampdoria,25,97,25.0,39,1.56,121,82,71.9,4,16.0,Serie A,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,1,Goalkeeper,67.1,19319,14234,100.0,99.2,48.8,0,0.0,0.1,0.0,0,16,0,0,0,0.48,11,39,-28,-1.12,+0.34,21.4,37.7,-16.3,-0.65,+0.57,emil-audero97,Indonesia,Goalkeeper,right,192.0,6/30/26 0:00,6000000
1,Francesco Bardi,Bologna,30,92,1.0,0,0.00,4,4,100.0,1,100.0,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,78.3,548,399,100.0,100.0,63.6,0,0.0,0.0,0.0,0,1,0,0,0,3.00,3,0,+3,+3.00,+2.97,0.7,0.8,-0.1,-0.14,-0.01,francesco-bardi92,Italy,Goalkeeper,right,188.0,6/30/23 0:00,500000
2,Marco Carnesecchi,Cremonese,22,00,27.0,47,1.74,153,107,70.6,4,14.8,Serie A,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,11,2,Goalkeeper,59.2,18072,14248,99.0,97.5,37.9,1,0.2,0.1,+0.8,2,33,1,0,0,0.78,25,47,-22,-0.81,+0.19,28.1,44.3,-16.2,-0.60,+0.42,marco-carnesecchi00,Italy,Goalkeeper,right,191.0,6/30/23 0:00,13000000
3,Michele Cerofolini,Fiorentina,23,99,5.0,3,0.60,11,8,81.8,2,40.0,Serie A,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Goalkeeper,75.9,3964,2708,100.0,100.0,51.0,0,0.0,0.0,0.0,0,1,0,0,0,2.60,13,3,+10,+2.00,+2.00,8.5,4.1,+4.4,+0.88,+0.66,michele-cerofolini99,Italy,Goalkeeper,right,188.0,6/30/24 0:00,300000
4,Andrea Consigli,Sassuolo,35,87,35.0,55,1.57,117,64,55.6,9,25.7,Serie A,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,3,Goalkeeper,79.2,31355,20598,99.5,99.4,60.4,0,0.0,0.0,0.0,0,16,0,0,1,1.26,45,55,-10,-0.29,+1.05,48.4,44.0,+4.4,+0.13,+0.96,andrea-consigli87,Italy,Goalkeeper,right,189.0,6/30/24 0:00,1500000
5,Alex Cordaz,Inter,39,83,0.3,0,0.00,2,2,100.0,1,,Serie A,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Goalkeeper,55.0,274,200,100.0,75.0,36.4,0,0.0,0.0,0.0,0,0,0,0,0,3.00,0,0,0,0.00,-0.77,0.3,0.8,-0.5,-1.78,-2.63,alex-cordaz83,Italy,Goalkeeper,right,188.0,6/30/23 0:00,300000
6,Alessio Cragno,Monza,28,94,1.0,3,3.00,5,2,40.0,0,0.0,Serie A,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Goalkeeper,93.5,621,431,100.0,100.0,66.7,0,0.0,0.0,0.0,0,0,0,0,0,0.00,0,3,-3,-3.00,-2.97,1.4,2.4,-1.1,-1.05,-0.93,alessio-cragno94,Italy,Goalkeeper,right,184.0,6/30/25 0:00,4000000
7,Michele Di Gregorio,Monza,25,97,37.0,49,1.32,167,119,72.5,10,27.0,Serie A,0,0,0,0,0,0,3,0.0,3,1,0,1,4,4,18,3,Goalkeeper,76.0,29670,19870,100.0,97.5,50.0,1,0.0,0.1,+1.0,1,16,1,0,0,1.41,48,49,-1,-0.03,+2.97,44.6,48.9,-4.3,-0.12,+0.93,michele-di-gregorio97,Italy,Goalkeeper,right,187.0,6/30/25 0:00,7000000
8,Bartłomiej Drągowski,Spezia,24,97,32.7,54,1.65,164,112,69.5,6,17.6,Serie A,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,15,3,Goalkeeper,68.9,21748,14971,99.5,98.1,40.4,1,0.1,0.2,+0.9,1,22,3,0,0,0.80,24,54,-30,-0.92,-0.73,32.4,50.9,-18.5,-0.56,-0.65,bartlomiej-drągowski97,Poland,Goalkeeper,right,191.0,6/30/25 0:00,4500000
9,Wladimiro Falcone,Lecce,27,95,38.0,46,1.21,156,112,73.7,6,15.8,Serie A,2,0,2,0,0,2,2,100.0,0,0,0,0,2,4,21,3,Goalkeeper,51.2,19884,15815,100.0,96.1,34.1,0,0.2,0.1,-0.2,3,16,2,0,0,0.95,33,46,-13,-0.34,,36.1,42.1,-6.1,-0.16,,wladimiro-falcone95,Italy,Goalkeeper,right,195.0,6/30/23 0:00,5000000
