Squad,sq_Poss,sq_Gls,sq_Ast,sq_Gls/90,sq_Ast/90,opp_sq_Poss,opp_sq_Gls,opp_sq_Ast,opp_sq_Gls/90,opp_sq_Ast/90
ADO Den Haag,-6.199999999999996,-26.0,-18.0,-0.69,-0.4700000000000001,6.199999999999996,4.0,1.0,0.10999999999999988,0.030000000000000027
AZ Alkmaar,-2.299999999999997,3.0,-1.0,0.08999999999999986,-0.030000000000000027,2.5,-9.0,-6.0,-0.26,-0.17999999999999994
Aberdeen,-10.800000000000004,15.0,4.0,0.3999999999999999,0.09999999999999998,10.800000000000004,13.0,10.0,0.3500000000000001,0.26
Ajaccio,-6.699999999999996,-17.0,-14.0,-0.45000000000000007,-0.36000000000000004,6.5,54.0,37.0,1.42,0.97
Ajax,0.09999999999999432,-8.0,-5.0,-0.22999999999999998,-0.1499999999999999,0.0,19.0,15.0,0.56,0.44
Akhmat Grozny,-2.8999999999999986,16.0,20.0,0.53,0.6699999999999999,2.8999999999999986,3.0,1.0,0.10000000000000009,0.040000000000000036
Alavés,5.399999999999999,16.0,7.0,0.31000000000000005,0.10999999999999999,-5.100000000000001,-32.0,-25.0,-0.9199999999999999,-0.71
Almere City,2.5,4.0,-7.0,0.1100000000000001,-0.19000000000000006,-2.5,-26.0,-18.0,-0.69,-0.4800000000000001
Almería,-10.0,-13.0,-12.0,-0.18999999999999995,-0.20000000000000007,9.799999999999997,31.0,32.0,0.8899999999999999,0.89
Amiens,-1.1000000000000014,-4.0,-4.0,-0.1100000000000001,-0.09999999999999998,1.8000000000000043,11.0,7.0,0.29000000000000004,0.18999999999999995
Anderlecht,-2.0999999999999943,-22.0,-8.0,-0.6500000000000001,-0.22999999999999998,2.3000000000000043,5.0,8.0,0.1499999999999999,0.22999999999999998
Angers,-1.5,-10.0,-7.0,-0.2600000000000001,-0.19000000000000006,1.8000000000000043,25.0,21.0,0.6599999999999997,0.55
Antwerp,3.5,2.0,11.0,0.06000000000000005,0.33000000000000007,-3.700000000000003,-11.0,-1.0,-0.33000000000000007,-0.030000000000000027
Arminia,4.099999999999994,24.0,15.0,0.71,0.43999999999999995,-4.299999999999997,11.0,14.0,0.32000000000000006,0.4099999999999999
Arouca,-2.0,6.0,5.0,0.18000000000000005,0.15000000000000002,1.7000000000000028,-16.0,-16.0,-0.47,-0.4700000000000001
Arsenal,6.5,24.0,23.0,0.6299999999999999,0.5999999999999999,-6.699999999999996,-5.0,-6.0,-0.1299999999999999,-0.16000000000000003
Ascoli,0.6000000000000014,-11.0,-10.0,-0.29000000000000004,-0.26,-0.8000000000000043,7.0,9.0,0.18999999999999995,0.22999999999999998
Aston Villa,2.799999999999997,-1.0,-7.0,-0.030000000000000027,-0.19000000000000006,-2.8999999999999986,-10.0,-10.0,-0.26,-0.26
Atalanta,-5.100000000000001,2.0,-6.0,0.050000000000000044,-0.1499999999999999,5.200000000000003,1.0,6.0,0.030000000000000027,0.16000000000000003
Athletic Club,3.5,6.0,-1.0,0.15999999999999992,-0.020000000000000018,-3.5,5.0,2.0,0.13,0.05999999999999994
Atlético Madrid,0.0,5.0,6.0,0.13000000000000012,0.16000000000000014,0.0,-7.0,-6.0,-0.18000000000000005,-0.16000000000000003
Augsburg,0.20000000000000284,2.0,3.0,0.06000000000000005,0.08999999999999997,-0.5,7.0,6.0,0.19999999999999996,0.17000000000000015
Auxerre,-14.300000000000004,-27.0,-29.0,-0.7100000000000001,-0.76,14.400000000000006,23.0,18.0,0.5999999999999999,0.47
Barcelona,0.09999999999999432,1.0,4.0,0.030000000000000027,0.09999999999999987,0.5,-21.0,-17.0,-0.55,-0.44999999999999996
Bastia,0.10000000000000142,16.0,10.0,0.42000000000000015,0.26,0.0,10.0,6.0,0.2599999999999999,0.15999999999999992
Bayern Munich,-0.29999999999999716,-2.0,-3.0,-0.06000000000000005,-0.09000000000000008,0.5999999999999943,2.0,-6.0,0.06000000000000005,-0.16999999999999993
Benevento,-3.8000000000000043,-28.0,-16.0,-0.7300000000000001,-0.41999999999999993,3.8999999999999986,12.0,10.0,0.32000000000000006,0.2699999999999999
Benfica,2.3000000000000043,1.0,-7.0,0.03000000000000025,-0.20999999999999996,-1.8000000000000043,-10.0,-10.0,-0.2899999999999999,-0.30000000000000004
Betis,-3.1000000000000014,-17.0,-19.0,-0.4500000000000002,-0.4999999999999999,3.5,2.0,-1.0,0.050000000000000044,-0.020000000000000018
Birmingham City,-2.0,-2.0,1.0,-0.050000000000000044,0.020000000000000018,2.1000000000000014,-15.0,-13.0,-0.33000000000000007,-0.2899999999999999
Blackburn,8.299999999999997,-8.0,-3.0,-0.16999999999999993,-0.06999999999999995,-9.0,5.0,-10.0,0.10999999999999988,-0.21000000000000008
Blackpool,-3.3000000000000043,-5.0,0.0,-0.10999999999999988,0.0,3.700000000000003,10.0,-2.0,0.21999999999999997,-0.04999999999999993
