,Squad,sq_Poss,sq_Gls,sq_Ast,sq_Gls/90,sq_Ast/90,opp_sq_Poss,opp_sq_Gls,opp_sq_Ast,opp_sq_Gls/90,opp_sq_Ast/90
0,Atalanta,55.0,62,48,1.63,1.26,44.9,45.0,29.0,1.18,0.76
1,Bologna,50.6,43,34,1.13,0.89,49.3,53.0,32.0,1.39,0.84
2,Cagliari,44.5,34,26,0.89,0.68,55.6,67.0,41.0,1.76,1.08
3,Empoli,47.4,47,27,1.24,0.71,52.9,64.0,44.0,1.68,1.16
4,Fiorentina,57.7,59,33,1.55,0.87,41.8,49.0,33.0,1.29,0.87
5,Genoa,43.9,26,19,0.68,0.5,56.1,58.0,35.0,1.53,0.92
6,Hellas Verona,50.6,63,44,1.66,1.16,49.4,57.0,38.0,1.5,1.0
7,Inter,56.5,83,57,2.18,1.5,43.4,31.0,19.0,0.82,0.5
8,Juventus,51.5,56,37,1.47,0.97,48.3,36.0,21.0,0.95,0.55
9,Lazio,55.4,74,48,1.95,1.26,44.4,57.0,40.0,1.5,1.05
10,Milan,54.0,66,39,1.74,1.03,45.8,29.0,19.0,0.76,0.5
11,Napoli,58.3,74,46,1.95,1.21,41.5,30.0,19.0,0.79,0.5
12,Roma,51.4,58,31,1.53,0.82,48.6,41.0,23.0,1.08,0.61
13,Salernitana,41.2,32,19,0.84,0.5,59.0,76.0,58.0,2.0,1.53
14,Sampdoria,46.1,42,29,1.11,0.76,54.1,61.0,41.0,1.61,1.08
15,Sassuolo,54.9,60,39,1.58,1.03,44.8,65.0,48.0,1.71,1.26
16,Spezia,42.7,38,25,1.0,0.66,57.3,68.0,44.0,1.79,1.16
17,Torino,53.3,43,27,1.13,0.71,46.4,41.0,25.0,1.08,0.66
18,Udinese,42.7,58,36,1.53,0.95,57.7,57.0,39.0,1.5,1.03
19,Venezia,42.3,34,23,0.89,0.61,57.9,67.0,39.0,1.76,1.03
20,Arminia,40.7,26,18,0.76,0.53,59.5,51.0,34.0,1.5,1.0
21,Augsburg,41.5,39,26,1.15,0.76,58.8,54.0,40.0,1.59,1.18
22,Bayern Munich,64.5,92,70,2.71,2.06,35.2,36.0,28.0,1.06,0.82
23,Bochum,44.7,37,22,1.09,0.65,55.5,48.0,34.0,1.41,1.0
24,Dortmund,59.2,81,57,2.38,1.68,40.4,50.0,32.0,1.47,0.94
25,Eint Frankfurt,49.6,43,33,1.26,0.97,50.4,48.0,33.0,1.41,0.97
26,Freiburg,49.0,55,37,1.62,1.09,50.8,45.0,35.0,1.32,1.03
27,Greuther Fürth,43.6,26,15,0.76,0.44,56.6,77.0,56.0,2.26,1.65
28,Hertha BSC,43.7,35,23,1.03,0.68,56.5,71.0,44.0,2.09,1.29
29,Hoffenheim,53.2,55,42,1.62,1.24,46.4,59.0,46.0,1.74,1.35
30,Köln,54.8,52,40,1.53,1.18,44.9,47.0,38.0,1.38,1.12
31,Leverkusen,53.7,76,58,2.24,1.71,46.1,46.0,25.0,1.35,0.74
32,M'Gladbach,54.0,54,38,1.59,1.12,45.6,61.0,46.0,1.79,1.35
33,Mainz 05,46.5,49,36,1.44,1.06,53.7,44.0,32.0,1.29,0.94
34,RB Leipzig,56.1,72,53,2.12,1.56,43.4,36.0,23.0,1.06,0.68
35,Stuttgart,50.7,40,31,1.18,0.91,49.3,58.0,44.0,1.71,1.29
36,Union Berlin,43.7,50,33,1.47,0.97,56.6,40.0,28.0,1.18,0.82
37,Wolfsburg,50.5,42,25,1.24,0.74,49.4,53.0,39.0,1.56,1.15
38,Arsenal,52.8,60,41,1.58,1.08,46.8,47.0,33.0,1.24,0.87
39,Aston Villa,46.5,50,42,1.32,1.11,53.5,52.0,35.0,1.37,0.92
40,Brentford,44.8,46,33,1.21,0.87,55.5,54.0,41.0,1.42,1.08
41,Brighton,54.4,40,30,1.05,0.79,45.3,44.0,34.0,1.16,0.89
42,Burnley,40.2,32,26,0.84,0.68,60.2,51.0,36.0,1.34,0.95
43,Chelsea,61.8,75,52,1.97,1.37,37.7,32.0,20.0,0.84,0.53
44,Crystal Palace,51.1,50,31,1.32,0.82,49.1,44.0,30.0,1.16,0.79
45,Everton,40.0,42,29,1.11,0.76,60.3,61.0,46.0,1.61,1.21
46,Leeds United,52.3,42,26,1.11,0.68,47.5,78.0,59.0,2.05,1.55
47,Leicester City,52.0,62,46,1.63,1.21,47.9,58.0,36.0,1.53,0.95
48,Liverpool,62.7,94,71,2.47,1.87,36.7,25.0,18.0,0.66,0.47
49,Manchester City,67.9,96,63,2.53,1.66,31.5,26.0,23.0,0.68,0.61
50,Manchester Utd,52.7,56,46,1.47,1.21,47.1,54.0,41.0,1.42,1.08
51,Newcastle Utd,40.4,41,23,1.08,0.61,60.1,60.0,43.0,1.58,1.13
