Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/80241/Show/Antoine-Griezmann,	1,Antoine Griezmann,https://www.whoscored.com/Teams/63/Show/Spain-Atletico,"Atletico, ",33,",  AM(CLR),FW  ",31(7),2863	,15	,16	,2	,-	,2.9	,82.4	,0.7	,13	,7.69
https://www.whoscored.com/Players/14296/Show/Karim-Benzema,	2,Karim Benzema,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",36,",  FW  ",24,2044	,19	,3	,1	,-	,4.5	,87	,0.6	,6	,7.53
https://www.whoscored.com/Players/29400/Show/Robert-Lewandowski,	3,Robert Lewandowski,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",35,",  FW  ",33(1),2852	,23	,7	,2	,1	,4	,78.1	,1.5	,7	,7.49
https://www.whoscored.com/Players/337782/Show/Vin%C3%ADcius-J%C3%BAnior,	4,Vinícius Júnior,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",23,",  AM(L),FW  ",32(1),2833	,10	,9	,10	,1	,2.3	,80.6	,0.1	,4	,7.35
https://www.whoscored.com/Players/347862/Show/Rodrygo,	5,Rodrygo,https://www.whoscored.com/Teams/52/Show/Spain-Real-Madrid,"Real Madrid, ",23,",  AM(CLR),FW  ",25(9),2382	,9	,8	,4	,-	,2.9	,89.6	,0.4	,4	,7.26
https://www.whoscored.com/Players/402197/Show/Pedri,	6,Pedri,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",21,",  AM(CL)  ",22(4),1983	,6	,1	,2	,-	,0.8	,87.6	,0.1	,4	,7.20
https://www.whoscored.com/Players/74603/Show/Joselu,	7,Joselu,https://www.whoscored.com/Teams/70/Show/Spain-Espanyol,"Espanyol, ",34,",  FW  ",33(1),2989	,16	,2	,3	,-	,2.7	,61	,5.1	,5	,7.15
https://www.whoscored.com/Players/279423/Show/Frenkie-de-Jong,	8,Frenkie de Jong,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",26,",  D(C),DMC  ",29(4),2539	,2	,4	,3	,-	,0.5	,91.4	,1	,4	,7.15
https://www.whoscored.com/Players/299513/Show/Ousmane-Demb%C3%A9l%C3%A9,	9,Ousmane Dembélé,https://www.whoscored.com/Teams/65/Show/Spain-Barcelona,"Barcelona, ",26,",  AM(CLR),FW  ",16(9),1416	,5	,7	,4	,-	,2	,83.4	,0.2	,3	,7.14
https://www.whoscored.com/Players/238916/Show/Mikel-Merino,	10,Mikel Merino,https://www.whoscored.com/Teams/68/Show/Spain-Real-Sociedad,"Real Sociedad, ",27,",  M(C)  ",28(5),2500	,2	,9	,6	,1	,1.3	,77.6	,3.4	,7	,7.13
https://www.whoscored.com/Players/367780/Show/Lee-Kang-In,	11,Lee Kang-In,https://www.whoscored.com/Teams/51/Show/Spain-Mallorca,"Mallorca, ",23,",  M(CLR),FW  ",33(3),2841	,6	,6	,10	,-	,1.3	,80.3	,0.6	,6	,7.09
